Device Name,Date,Temperature (DegC),,Flow Rate (USGPM),TR
,,CHWR,CHWS,Flow,Load
BTU-213,2/17/2017 15:00,22.08,19.2,110.9,23.4
BTU-214,2/17/2017 15:00,22.87,19.2,98.1,26.5
BTU-215,2/17/2017 14:55,22.04,19.04,110.3,24.4
BTU-216,2/17/2017 14:55,22.8,19.11,97.7,26.6
BTU-217,2/17/2017 14:50,21.85,19.15,134.2,26.7
BTU-218,2/17/2017 14:50,22.59,19.08,114.1,29.5
BTU-219,2/17/2017 14:45,21.81,19.14,131.7,25.9
BTU-220,2/17/2017 14:45,22.55,19.16,115.3,28.8
BTU-221,2/17/2017 14:40,21.69,19.08,130.9,25.2
BTU-222,2/17/2017 14:40,22.42,19.18,116.4,27.8
BTU-223,2/17/2017 14:35,22.06,18.57,101.1,26
BTU-224,2/17/2017 14:35,22.6,18.62,87.1,25.5
BTU-225,2/17/2017 14:30,21.87,17.95,100.6,29.1
BTU-226,2/17/2017 14:30,23.28,18.06,86.9,33.4
BTU-227,2/17/2017 14:25,22.76,19.51,107.6,25.8
BTU-228,2/17/2017 14:25,23.55,19.45,94.9,28.6
BTU-229,2/17/2017 14:20,23.49,19.26,98.7,30.8
BTU-230,2/17/2017 14:20,23.3,19.29,85.1,25.2
BTU-231,2/17/2017 14:15,22.31,18.84,97.5,24.9
BTU-232,2/17/2017 14:15,23.5,18.99,84.5,28.1
BTU-233,2/17/2017 14:10,23.16,19.66,94.2,24.3
BTU-234,2/17/2017 14:10,23.35,19.56,83.2,23.2
BTU-235,2/17/2017 14:05,21.16,19.67,97.5,10.7
BTU-236,2/17/2017 14:05,23.02,19.76,85.7,20.6
BTU-237,2/17/2017 14:00,21.64,19.16,127.9,23.4
BTU-238,2/17/2017 14:00,22.79,19.45,112.3,27.6
BTU-239,2/17/2017 13:55,22.91,18.99,96,27.7
BTU-240,2/17/2017 13:55,23.54,18.98,84.2,28.3
BTU-241,2/17/2017 13:50,22.93,19.56,96.1,23.9
