Device Name,Date,CHWR (DegC),CHWS (DegC),Flow(USGPM),Load (TR)
BTU-1,7/3/2017 17:05,18.35,15.09,109.6,26.3
BTU-2,7/3/2017 17:05,19.76,15.22,96.2,32.2
BTU-1,7/3/2017 17:00,18.45,15.17,109.3,26.5
BTU-2,7/3/2017 17:00,19.83,15.28,97.7,32.8
BTU-1,7/3/2017 16:55,18.49,15.3,114,26.8
BTU-2,7/3/2017 16:55,19.86,15.35,97.5,32.4
BTU-1,7/3/2017 16:50,18.57,15.34,111.9,26.6
BTU-2,7/3/2017 16:50,19.96,15.36,96.1,32.7
BTU-1,7/3/2017 16:45,18.64,15.41,111.1,26.4
BTU-2,7/3/2017 16:45,20.12,15.5,97.8,33.4
BTU-1,7/3/2017 16:40,18.89,15.56,115.2,28.3
BTU-2,7/3/2017 16:40,20.2,15.75,98.2,32.3
BTU-1,7/3/2017 16:35,19.02,15.85,109.1,25.5
BTU-2,7/3/2017 16:35,20.25,15.92,95.1,30.4
BTU-1,7/3/2017 16:30,19.04,15.68,99.7,24.7
BTU-2,7/3/2017 16:30,20.14,15.73,87.2,28.3
BTU-1,7/3/2017 16:25,18.86,15.62,98.5,23.5
BTU-2,7/3/2017 16:25,19.86,15.69,85.8,26.4
BTU-1,7/3/2017 16:20,18.57,15.44,100.8,23.2
BTU-2,7/3/2017 16:20,19.43,15.47,84.8,24.7
BTU-1,7/3/2017 16:15,17.94,14.69,101.3,24.3
BTU-2,7/3/2017 16:15,19.31,14.69,86.2,29.4
BTU-1,7/3/2017 16:10,17.79,14.46,107.3,26.3
BTU-2,7/3/2017 16:10,19.19,14.58,91.8,31.2
BTU-1,7/3/2017 16:05,17.64,14.46,112.5,26.4
BTU-2,7/3/2017 16:05,19.25,14.66,96.5,32.7
BTU-1,7/3/2017 16:00,17.75,14.51,109.2,26
BTU-2,7/3/2017 16:00,19.32,14.77,98.1,32.9
BTU-1,7/3/2017 15:55,17.83,14.6,112,26.7
BTU-2,7/3/2017 15:55,19.4,14.71,96.9,33.5
BTU-1,7/3/2017 15:50,18.08,14.81,112.1,27
BTU-2,7/3/2017 15:50,19.49,14.86,97.6,33.3
BTU-1,7/3/2017 15:45,18.16,15.02,111.6,25.8
